time,product_id,event,mode,status
8,P001,sensor_started,edf,scheduled
10,P001,sensor_completed,edf,scheduled
10,P001,camera_started,edf,scheduled
14,P001,camera_completed,edf,scheduled
14,P001,rule_inspection_started,edf,scheduled
19,P001,rule_inspection_completed,edf,scheduled
19,P002,sensor_started,edf,scheduled
21,P002,sensor_completed,edf,scheduled
21,P002,camera_started,edf,scheduled
25,P002,camera_completed,edf,scheduled
25,P003,sensor_started,edf,scheduled
27,P003,sensor_completed,edf,scheduled
27,P003,camera_started,edf,scheduled
31,P003,camera_completed,edf,scheduled
31,P002,rule_inspection_started,edf,scheduled
36,P002,rule_inspection_completed,edf,scheduled
36,P004,sensor_started,edf,scheduled
38,P004,sensor_completed,edf,scheduled
38,P004,camera_started,edf,scheduled
42,P004,camera_completed,edf,scheduled
42,P005,sensor_started,edf,scheduled
44,P005,sensor_completed,edf,scheduled
44,P005,camera_started,edf,scheduled
48,P005,camera_completed,edf,scheduled
48,P006,sensor_started,edf,scheduled
50,P006,sensor_completed,edf,scheduled
50,P003,rule_inspection_started,edf,scheduled
55,P003,rule_inspection_completed,edf,scheduled
55,P006,camera_started,edf,scheduled
59,P006,camera_completed,edf,scheduled
59,P007,sensor_started,edf,scheduled
61,P007,sensor_completed,edf,scheduled
61,P004,rule_inspection_started,edf,scheduled
66,P004,rule_inspection_completed,edf,scheduled
66,P008,sensor_started,edf,scheduled
68,P008,sensor_completed,edf,scheduled
68,P001,ai_inspection_started,edf,deadline_missed
80,P001,ai_inspection_completed,edf,deadline_missed
80,P007,camera_started,edf,deadline_missed
84,P007,camera_completed,edf,deadline_missed
84,P005,rule_inspection_started,edf,deadline_missed
89,P005,rule_inspection_completed,edf,deadline_missed
89,P002,ai_inspection_started,edf,deadline_missed
101,P002,ai_inspection_completed,edf,deadline_missed
101,P008,camera_started,edf,deadline_missed
105,P008,camera_completed,edf,deadline_missed
105,P001,decision_fusion_started,edf,deadline_missed
108,P001,decision_fusion_completed,edf,deadline_missed
108,P006,rule_inspection_started,edf,deadline_missed
113,P006,rule_inspection_completed,edf,deadline_missed
113,P003,ai_inspection_started,edf,deadline_missed
125,P003,ai_inspection_completed,edf,deadline_missed
125,P002,decision_fusion_started,edf,deadline_missed
128,P002,decision_fusion_completed,edf,deadline_missed
128,P007,rule_inspection_started,edf,deadline_missed
133,P007,rule_inspection_completed,edf,deadline_missed
133,P004,ai_inspection_started,edf,deadline_missed
145,P004,ai_inspection_completed,edf,deadline_missed
145,P001,actuator_started,edf,deadline_missed
149,P001,actuator_completed,edf,deadline_missed
149,P003,decision_fusion_started,edf,deadline_missed
152,P003,decision_fusion_completed,edf,deadline_missed
152,P008,rule_inspection_started,edf,deadline_missed
157,P008,rule_inspection_completed,edf,deadline_missed
157,P005,ai_inspection_started,edf,deadline_missed
169,P005,ai_inspection_completed,edf,deadline_missed
169,P002,actuator_started,edf,deadline_missed
173,P002,actuator_completed,edf,deadline_missed
173,P004,decision_fusion_started,edf,deadline_missed
176,P004,decision_fusion_completed,edf,deadline_missed
176,P006,ai_inspection_started,edf,deadline_missed
188,P006,ai_inspection_completed,edf,deadline_missed
188,P003,actuator_started,edf,deadline_missed
192,P003,actuator_completed,edf,deadline_missed
192,P005,decision_fusion_started,edf,deadline_missed
195,P005,decision_fusion_completed,edf,deadline_missed
195,P007,ai_inspection_started,edf,deadline_missed
207,P007,ai_inspection_completed,edf,deadline_missed
207,P004,actuator_started,edf,deadline_missed
211,P004,actuator_completed,edf,deadline_missed
211,P006,decision_fusion_started,edf,deadline_missed
214,P006,decision_fusion_completed,edf,deadline_missed
214,P008,ai_inspection_started,edf,deadline_missed
226,P008,ai_inspection_completed,edf,deadline_missed
226,P005,actuator_started,edf,deadline_missed
230,P005,actuator_completed,edf,deadline_missed
230,P007,decision_fusion_started,edf,deadline_missed
233,P007,decision_fusion_completed,edf,deadline_missed
233,P006,actuator_started,edf,deadline_missed
237,P006,actuator_completed,edf,deadline_missed
237,P008,decision_fusion_started,edf,deadline_missed
240,P008,decision_fusion_completed,edf,deadline_missed
240,P007,actuator_started,edf,deadline_missed
244,P007,actuator_completed,edf,deadline_missed
244,P008,actuator_started,edf,deadline_missed
248,P008,actuator_completed,edf,deadline_missed
248,P001,logger_started,edf,deadline_missed
254,P001,logger_completed,edf,deadline_missed
254,P002,logger_started,edf,deadline_missed
260,P002,logger_completed,edf,deadline_missed
260,P003,logger_started,edf,deadline_missed
266,P003,logger_completed,edf,deadline_missed
266,P004,logger_started,edf,deadline_missed
272,P004,logger_completed,edf,deadline_missed
272,P005,logger_started,edf,deadline_missed
278,P005,logger_completed,edf,deadline_missed
278,P006,logger_started,edf,deadline_missed
284,P006,logger_completed,edf,deadline_missed
284,P007,logger_started,edf,deadline_missed
290,P007,logger_completed,edf,deadline_missed
290,P008,logger_started,edf,deadline_missed
296,P008,logger_completed,edf,deadline_missed
