time,product_id,event,mode,status
8,P001,actuator_started,priority,scheduled
12,P001,actuator_completed,priority,scheduled
12,P001,sensor_started,priority,scheduled
14,P001,sensor_completed,priority,scheduled
14,P001,camera_started,priority,scheduled
18,P001,camera_completed,priority,scheduled
18,P002,actuator_started,priority,scheduled
22,P002,actuator_completed,priority,scheduled
22,P002,sensor_started,priority,scheduled
24,P002,sensor_completed,priority,scheduled
24,P003,actuator_started,priority,scheduled
28,P003,actuator_completed,priority,scheduled
28,P003,sensor_started,priority,scheduled
30,P003,sensor_completed,priority,scheduled
30,P002,camera_started,priority,scheduled
34,P002,camera_completed,priority,scheduled
34,P004,actuator_started,priority,scheduled
38,P004,actuator_completed,priority,scheduled
38,P004,sensor_started,priority,scheduled
40,P004,sensor_completed,priority,scheduled
40,P005,actuator_started,priority,scheduled
44,P005,actuator_completed,priority,scheduled
44,P005,sensor_started,priority,scheduled
46,P005,sensor_completed,priority,scheduled
46,P003,camera_started,priority,deadline_missed
50,P003,camera_completed,priority,deadline_missed
50,P006,actuator_started,priority,scheduled
54,P006,actuator_completed,priority,scheduled
54,P006,sensor_started,priority,scheduled
56,P006,sensor_completed,priority,scheduled
56,P007,actuator_started,priority,scheduled
60,P007,actuator_completed,priority,scheduled
60,P007,sensor_started,priority,scheduled
62,P007,sensor_completed,priority,scheduled
62,P004,camera_started,priority,deadline_missed
66,P004,camera_completed,priority,deadline_missed
66,P008,actuator_started,priority,scheduled
70,P008,actuator_completed,priority,scheduled
70,P008,sensor_started,priority,scheduled
72,P008,sensor_completed,priority,scheduled
72,P005,camera_started,priority,deadline_missed
76,P005,camera_completed,priority,deadline_missed
76,P006,camera_started,priority,deadline_missed
80,P006,camera_completed,priority,deadline_missed
80,P007,camera_started,priority,deadline_missed
84,P007,camera_completed,priority,deadline_missed
84,P008,camera_started,priority,scheduled
88,P008,camera_completed,priority,scheduled
88,P001,ai_inspection_started,priority,deadline_missed
100,P001,ai_inspection_completed,priority,deadline_missed
100,P002,ai_inspection_started,priority,deadline_missed
112,P002,ai_inspection_completed,priority,deadline_missed
112,P003,ai_inspection_started,priority,deadline_missed
124,P003,ai_inspection_completed,priority,deadline_missed
124,P004,ai_inspection_started,priority,deadline_missed
136,P004,ai_inspection_completed,priority,deadline_missed
136,P005,ai_inspection_started,priority,deadline_missed
148,P005,ai_inspection_completed,priority,deadline_missed
148,P006,ai_inspection_started,priority,deadline_missed
160,P006,ai_inspection_completed,priority,deadline_missed
160,P007,ai_inspection_started,priority,deadline_missed
172,P007,ai_inspection_completed,priority,deadline_missed
172,P008,ai_inspection_started,priority,deadline_missed
184,P008,ai_inspection_completed,priority,deadline_missed
184,P001,rule_inspection_started,priority,deadline_missed
189,P001,rule_inspection_completed,priority,deadline_missed
189,P002,rule_inspection_started,priority,deadline_missed
194,P002,rule_inspection_completed,priority,deadline_missed
194,P003,rule_inspection_started,priority,deadline_missed
199,P003,rule_inspection_completed,priority,deadline_missed
199,P004,rule_inspection_started,priority,deadline_missed
204,P004,rule_inspection_completed,priority,deadline_missed
204,P005,rule_inspection_started,priority,deadline_missed
209,P005,rule_inspection_completed,priority,deadline_missed
209,P006,rule_inspection_started,priority,deadline_missed
214,P006,rule_inspection_completed,priority,deadline_missed
214,P007,rule_inspection_started,priority,deadline_missed
219,P007,rule_inspection_completed,priority,deadline_missed
219,P008,rule_inspection_started,priority,deadline_missed
224,P008,rule_inspection_completed,priority,deadline_missed
224,P001,decision_fusion_started,priority,deadline_missed
227,P001,decision_fusion_completed,priority,deadline_missed
227,P002,decision_fusion_started,priority,deadline_missed
230,P002,decision_fusion_completed,priority,deadline_missed
230,P003,decision_fusion_started,priority,deadline_missed
233,P003,decision_fusion_completed,priority,deadline_missed
233,P004,decision_fusion_started,priority,deadline_missed
236,P004,decision_fusion_completed,priority,deadline_missed
236,P005,decision_fusion_started,priority,deadline_missed
239,P005,decision_fusion_completed,priority,deadline_missed
239,P006,decision_fusion_started,priority,deadline_missed
242,P006,decision_fusion_completed,priority,deadline_missed
242,P007,decision_fusion_started,priority,deadline_missed
245,P007,decision_fusion_completed,priority,deadline_missed
245,P008,decision_fusion_started,priority,deadline_missed
248,P008,decision_fusion_completed,priority,deadline_missed
248,P001,logger_started,priority,deadline_missed
254,P001,logger_completed,priority,deadline_missed
254,P002,logger_started,priority,deadline_missed
260,P002,logger_completed,priority,deadline_missed
260,P003,logger_started,priority,deadline_missed
266,P003,logger_completed,priority,deadline_missed
266,P004,logger_started,priority,deadline_missed
272,P004,logger_completed,priority,deadline_missed
272,P005,logger_started,priority,deadline_missed
278,P005,logger_completed,priority,deadline_missed
278,P006,logger_started,priority,deadline_missed
284,P006,logger_completed,priority,deadline_missed
284,P007,logger_started,priority,deadline_missed
290,P007,logger_completed,priority,deadline_missed
290,P008,logger_started,priority,deadline_missed
296,P008,logger_completed,priority,deadline_missed
