time,product_id,event,mode,status
8,P001,sensor_started,rms,scheduled
10,P001,sensor_completed,rms,scheduled
10,P001,camera_started,rms,scheduled
14,P001,camera_completed,rms,scheduled
14,P001,rule_inspection_started,rms,scheduled
19,P001,rule_inspection_completed,rms,scheduled
19,P002,sensor_started,rms,scheduled
21,P002,sensor_completed,rms,scheduled
21,P002,camera_started,rms,scheduled
25,P002,camera_completed,rms,scheduled
25,P003,sensor_started,rms,scheduled
27,P003,sensor_completed,rms,scheduled
27,P003,camera_started,rms,scheduled
31,P003,camera_completed,rms,scheduled
31,P002,rule_inspection_started,rms,scheduled
36,P002,rule_inspection_completed,rms,scheduled
36,P004,sensor_started,rms,scheduled
38,P004,sensor_completed,rms,scheduled
38,P004,camera_started,rms,scheduled
42,P004,camera_completed,rms,scheduled
42,P005,sensor_started,rms,scheduled
44,P005,sensor_completed,rms,scheduled
44,P005,camera_started,rms,scheduled
48,P005,camera_completed,rms,scheduled
48,P006,sensor_started,rms,scheduled
50,P006,sensor_completed,rms,scheduled
50,P006,camera_started,rms,scheduled
54,P006,camera_completed,rms,scheduled
54,P003,rule_inspection_started,rms,scheduled
59,P003,rule_inspection_completed,rms,scheduled
59,P007,sensor_started,rms,scheduled
61,P007,sensor_completed,rms,scheduled
61,P007,camera_started,rms,scheduled
65,P007,camera_completed,rms,scheduled
65,P008,sensor_started,rms,scheduled
67,P008,sensor_completed,rms,scheduled
67,P008,camera_started,rms,scheduled
71,P008,camera_completed,rms,scheduled
71,P004,rule_inspection_started,rms,scheduled
76,P004,rule_inspection_completed,rms,scheduled
76,P005,rule_inspection_started,rms,scheduled
81,P005,rule_inspection_completed,rms,scheduled
81,P006,rule_inspection_started,rms,scheduled
86,P006,rule_inspection_completed,rms,scheduled
86,P007,rule_inspection_started,rms,scheduled
91,P007,rule_inspection_completed,rms,scheduled
91,P008,rule_inspection_started,rms,scheduled
96,P008,rule_inspection_completed,rms,scheduled
96,P001,ai_inspection_started,rms,deadline_missed
108,P001,ai_inspection_completed,rms,deadline_missed
108,P002,ai_inspection_started,rms,deadline_missed
120,P002,ai_inspection_completed,rms,deadline_missed
120,P003,ai_inspection_started,rms,deadline_missed
132,P003,ai_inspection_completed,rms,deadline_missed
132,P004,ai_inspection_started,rms,deadline_missed
144,P004,ai_inspection_completed,rms,deadline_missed
144,P005,ai_inspection_started,rms,deadline_missed
156,P005,ai_inspection_completed,rms,deadline_missed
156,P006,ai_inspection_started,rms,deadline_missed
168,P006,ai_inspection_completed,rms,deadline_missed
168,P007,ai_inspection_started,rms,deadline_missed
180,P007,ai_inspection_completed,rms,deadline_missed
180,P008,ai_inspection_started,rms,deadline_missed
192,P008,ai_inspection_completed,rms,deadline_missed
192,P001,decision_fusion_started,rms,deadline_missed
195,P001,decision_fusion_completed,rms,deadline_missed
195,P002,decision_fusion_started,rms,deadline_missed
198,P002,decision_fusion_completed,rms,deadline_missed
198,P003,decision_fusion_started,rms,deadline_missed
201,P003,decision_fusion_completed,rms,deadline_missed
201,P004,decision_fusion_started,rms,deadline_missed
204,P004,decision_fusion_completed,rms,deadline_missed
204,P005,decision_fusion_started,rms,deadline_missed
207,P005,decision_fusion_completed,rms,deadline_missed
207,P006,decision_fusion_started,rms,deadline_missed
210,P006,decision_fusion_completed,rms,deadline_missed
210,P007,decision_fusion_started,rms,deadline_missed
213,P007,decision_fusion_completed,rms,deadline_missed
213,P008,decision_fusion_started,rms,deadline_missed
216,P008,decision_fusion_completed,rms,deadline_missed
216,P001,actuator_started,rms,deadline_missed
220,P001,actuator_completed,rms,deadline_missed
220,P002,actuator_started,rms,deadline_missed
224,P002,actuator_completed,rms,deadline_missed
224,P003,actuator_started,rms,deadline_missed
228,P003,actuator_completed,rms,deadline_missed
228,P004,actuator_started,rms,deadline_missed
232,P004,actuator_completed,rms,deadline_missed
232,P005,actuator_started,rms,deadline_missed
236,P005,actuator_completed,rms,deadline_missed
236,P006,actuator_started,rms,deadline_missed
240,P006,actuator_completed,rms,deadline_missed
240,P007,actuator_started,rms,deadline_missed
244,P007,actuator_completed,rms,deadline_missed
244,P008,actuator_started,rms,deadline_missed
248,P008,actuator_completed,rms,deadline_missed
248,P001,logger_started,rms,deadline_missed
254,P001,logger_completed,rms,deadline_missed
254,P002,logger_started,rms,deadline_missed
260,P002,logger_completed,rms,deadline_missed
260,P003,logger_started,rms,deadline_missed
266,P003,logger_completed,rms,deadline_missed
266,P004,logger_started,rms,deadline_missed
272,P004,logger_completed,rms,deadline_missed
272,P005,logger_started,rms,deadline_missed
278,P005,logger_completed,rms,deadline_missed
278,P006,logger_started,rms,deadline_missed
284,P006,logger_completed,rms,deadline_missed
284,P007,logger_started,rms,deadline_missed
290,P007,logger_completed,rms,deadline_missed
290,P008,logger_started,rms,deadline_missed
296,P008,logger_completed,rms,deadline_missed
